Country,Year,Gini coefficient (before tax) (World Inequality Database)
Afghanistan,2017,0.5153931
Africa (WID),2017,0.67565435
Albania,2017,0.48394704
Algeria,2017,
Andorra,2017,
Angola,2017,
Anguilla,2017,
Antigua and Barbuda,2017,
Argentina,2017,0.553476
Armenia,2017,0.5389757
Aruba,2017,
Asia (WID),2017,0.6412312
Asia (excluding Middle East) (WID),2017,0.6334495
Australia,2017,0.487506
Austria,2016,0.4431692
Azerbaijan,2017,
Bahamas,2022,0.65127224
Bahrain,2017,
Bangladesh,2017,
Barbados,2017,
Belarus,2017,0.43258423
Belgium,2017,0.43432033
Belize,2022,0.6512723
Benin,2017,
Bermuda,2017,
Bhutan,2017,0.54890686
Bolivia,2022,0.65127224
Bonaire Sint Eustatius and Saba,2017,
Bosnia and Herzegovina,2015,0.48305514
Botswana,2017,
Brazil,2017,0.6819151
British Virgin Islands,2017,
Brunei,2017,
Bulgaria,2017,0.55368024
Burkina Faso,2017,
Burundi,2017,
Cambodia,2017,
Cameroon,2017,
Canada,2017,0.48784274
Cape Verde,2017,
Cayman Islands,2017,
Central African Republic,2017,
Central Asia (WID),2017,0.625845
Chad,2017,
Chile,2017,0.7244782
China,2017,
China (rural),2015,0.5113414
China (urban),2015,0.447393
Colombia,2017,0.69211304
Comoros,2017,
Congo,2017,
Costa Rica,2017,0.67525524
Cote d'Ivoire,2017,
Croatia,2017,0.46068484
Cuba,2022,0.5839059
Curacao,2017,
Cyprus,2017,0.46675822
Czechia,2017,0.3743987
Democratic Republic of Congo,2017,
Denmark,2017,0.4384457
Djibouti,2017,0.60097
Dominica,2017,
Dominican Republic,2017,0.655906
East Africa (WID),2017,0.64205956
East Asia (WID),2017,0.58018696
East Timor,2017,
Eastern Europe (WID),2017,0.4864278
Ecuador,2017,0.5710532
Egypt,2017,0.58078575
El Salvador,2017,0.6110119
Equatorial Guinea,2017,
Eritrea,2017,
Estonia,2017,0.48319885
Eswatini,2017,
Ethiopia,2017,
Europe (WID),2017,0.49343267
European Union (WID),2017,0.48628554
Fiji,2017,
Finland,2017,0.43583032
France,2017,0.45206815
French Polynesia,2017,
Gabon,2017,0.5593626
Gambia,2017,
Georgia,2017,0.59739923
Germany,2017,0.49187487
Ghana,2017,
Gibraltar,2017,
Greece,2017,0.46547517
Greenland,2017,
Grenada,2017,
Guatemala,2022,0.6512723
Guernsey,2017,
Guinea,2017,
Guinea-Bissau,2017,
Guyana,2022,0.6512723
Haiti,2022,0.6512723
Honduras,2022,0.6512723
Hong Kong,2017,
Hungary,2017,0.42289916
Iceland,2016,0.3930715
India,2017,
Indonesia,2017,0.5446759
Iran,2017,0.6006992
Iraq,2017,
Ireland,2017,0.47301826
Isle of Man,2017,
